person_name,user_name,email,personal_number,birth_date,address,phone,mac_address,ip_address,iban,accessed_at,session_duration,download_speed,upload_speed,consumed_traffic,unique_id
Tudor Mazilescu,tudormazilescu,tudormazilescu@gmail.com,6610207346323,2011-01-24,"Bulevardul Cristea Nr. 332, Ludus, 171705",0730 636 245,9b:54:ac:9d:39:fd,142.241.146.200,RO13NWCG5031785700966195,2024-12-23 04:08:06,11410,758,509,10507,8e04ecec-dc7b-4602-8a74-8a60e20eb8b9
Evelina Ioniță,evelinaioniță,evelinaioniță@gmail.com,1141005318853,1918-04-20,"Strada Ababei, Tandarei, 992261",0734 325 053,45:a7:83:7c:f5:1f,210.69.235.42,RO56GIWM3581918554632672,2025-02-21 04:47:34,35094,877,527,1168997,6b9c0e7e-f928-412d-963e-773c0c56e796
Iris Popa,irispopa,irispopa@post.ro,6900501447157,2018-06-02,"Drumul Frederic Diaconescu Nr. 731 Bl. 34  Sc. 81 Ap. 114, Valenii de Munte, 202796",0726 187 726,91:f2:ae:e8:d6:96,3.239.221.222,RO76KMRR3857992463016796,2024-05-12 04:03:12,22377,12,381,184634,4b3a1c5f-4f53-4a0e-842a-4411dfe29462
Teodor Ene,teodorene,teodorene@acasa.ro,4310704516467,2017-04-18,"Bulevardul Maximilian Ioniță, Harsova, 575418",0741 405 596,23:eb:8e:69:f7:a2,199.199.155.47,RO11IFHU4284114276647471,2024-12-13 04:00:42,13349,470,671,1406293,37547a65-d474-4153-8ac8-3e9a6e97667c
Ruxanda Gheorghiu,ruxandagheorghiu,ruxandagheorghiu@141.ro,7751217351134,1956-08-31,"Bulevardul Mocanu, Rosiori de Vede, 459416",0752 870 475,e7:fb:99:a3:ef:0d,198.23.129.69,RO31VQCF3749937616236627,2025-04-12 04:02:37,17765,224,685,862123,b0e544ed-816d-4fac-8e20-94ee752a3997
Cătălina Dobre,cătălinadobre,cătălinadobre@post.ro,5660712433801,1971-11-20,"Aleea Ardelean, Talmaciu, 551442",0256 262 525,b5:d4:04:08:d6:e4,33.87.178.29,RO12IRSK6872857487257812,2024-11-01 05:16:54,11450,363,43,1189322,b5e778ca-222f-4c91-b6f0-286c5b4e9406
Grațiana Niță,grațiananiță,grațiananiță@post.ro,3591124284600,2007-04-10,"Aleea Aanei, Motatei, 682537",0257 734 066,bb:ac:59:b9:8f:2b,15.151.52.245,RO44GOQO7586008820743391,2024-06-12 02:54:16,17432,29,732,506382,a9c34c20-e195-4ce2-8eb2-69678df518af
Francesca Florea,francescaflorea,francescaflorea@zzup.ro,1570317071851,1976-11-05,"Intrarea Steluța Stoica Nr. 31, Murfatlar, 195772",0244 890 164,10:d6:33:b6:ce:1a,186.194.101.177,RO81VOXE3406851997811109,2024-05-25 15:38:33,20245,137,135,943864,d58e42d7-6b0a-41b7-9049-a5ec834ae6cc
Niculina Diaconu,niculinadiaconu,niculinadiaconu@post.ro,6041103222039,1956-01-04,"Intrarea Mazilescu Nr. 111, Buhusi, 650771",0760 418 490,89:b3:f8:e9:bf:f8,167.187.177.173,RO97TYXT9357475502703486,2024-05-24 00:36:13,15414,149,464,1638506,f5a93eb1-f590-4d22-a4e8-b421febf26fb
Iolanda Toma,iolandatoma,iolandatoma@gmail.com,8570111297265,1912-03-18,"Strada Dumitrescu Nr. 609, Gugesti, 441451",0724 854 868,30:a9:63:d8:98:e3,167.68.146.50,RO41KLHL2484010813836036,2025-04-21 12:52:39,15493,876,9,714537,87f12886-e028-4328-bb0f-ab0316d3817b
Mara Florea,maraflorea,maraflorea@kappa.ro,2990304207869,1986-02-03,"Intrarea Tudor Diaconescu Nr. 401, Odobesti, 154135",0234 222 661,10:56:e5:d0:04:69,3.237.228.210,RO86TYUK1719632265911900,2025-04-12 19:26:02,29622,730,201,249786,ae5bb649-89ad-4f5b-8b0b-c0bfd8644935
Dorina Dobre,dorinadobre,dorinadobre@acasa.ro,2260531027908,1951-05-11,"Drumul Pamfil Ardelean Nr. 13 Bl. 17  Sc. 86 Ap. 140, Petrosani, 902032",0729 034 828,88:ca:12:71:d3:0e,36.192.207.252,RO10ODVH6177506179008380,2025-03-09 07:50:18,31107,63,371,907553,ace11848-35ab-4a66-b553-95d6af4764a4
Georgia Ene,georgiaene,georgiaene@kappa.ro,1441208162598,1937-10-14,"Drumul Flaviu Niță Nr. 78 Bl. 40  Sc. 16 Ap. 919, Turda, 278399",0720 669 770,1e:17:4e:8e:53:7b,135.252.133.93,RO36ZYYZ1566662835388989,2025-02-10 09:16:33,26841,530,633,1163586,68a2743b-1186-4494-912b-a07284491705
Grațiela Popa,grațielapopa,grațielapopa@zzup.ro,3630217518910,2012-04-14,"Soseaua Pușcașu, Podu Iloaiei, 577050",0728 416 209,e4:83:65:8a:da:05,31.170.236.79,RO63RJGM1542798137297145,2024-09-15 00:34:01,3811,782,394,496704,3886b0a0-39e7-4460-a183-c10dbb127497
Ariana Florea,arianaflorea,arianaflorea@zzup.ro,5770123150953,1911-05-16,"Intrarea Nistor Nr. 239, Barlad, 870791",0753 842 519,f7:38:8c:9e:01:12,37.63.150.220,RO26YEEG2434967877961739,2024-05-12 07:33:27,4041,189,732,596111,825cbbd8-737e-4716-893d-4fcebde582c2
Anica Oprea,anicaoprea,anicaoprea@zzup.ro,5390724283037,1985-09-19,"Intrarea Popa Nr. 78, Brad, 512624",0721 634 115,56:5a:70:88:9f:81,108.177.210.130,RO70CVTE2244395228794153,2024-08-07 17:05:12,24173,898,400,76055,4a219fc7-8100-44d8-af99-3f65cff83e1b
Fiona Popa,fionapopa,fionapopa@141.ro,2920405311172,1999-08-22,"Aleea Barbu, Viseu de Sus, 170420",0726 667 417,1d:8e:e2:e2:9f:97,180.119.211.47,RO73XLPY3635170135250001,2024-06-17 21:47:23,10336,632,185,407909,d0eead4a-370d-4206-b7f7-4565b7bc6b5d
Ligia Ardelean,ligiaardelean,ligiaardelean@141.ro,5330310237652,1921-04-05,"Strada Preda Nr. 34, Negresti, 970933",0248 353 884,4e:b0:35:dc:0d:11,209.76.105.202,RO90ZNPY1840441740962921,2024-10-18 10:21:09,18457,752,718,1391520,a47a1b3b-d4e4-4275-834c-ee9c4e66fa2d
Anghelina Barbu,anghelinabarbu,anghelinabarbu@kappa.ro,6330918455711,2017-02-27,"Intrarea Stănescu Nr. 60 Bl. 32  Sc. 62 Ap. 532, Jibou, 713191",0759 942 435,6b:4a:45:dc:37:f1,38.81.215.74,RO52QRCR2527223749830860,2024-12-31 04:30:30,25054,998,493,93228,1da6c4de-cae9-4369-a4dd-1903700405ba
Elisabeta Pop,elisabetapop,elisabetapop@kappa.ro,4610602058344,1991-02-28,"Soseaua Pușcașu, Targu Mures, 933134",0711 798 901,2f:86:af:aa:e3:a0,140.48.55.110,RO47WBIX2605063151274702,2025-04-22 21:06:48,8680,239,187,86135,dd19e17e-189b-46bf-ae5d-0c9ced76f606
Gică Ioniță,gicăioniță,gicăioniță@gmail.com,7780408200690,1912-10-14,"Bulevardul Mocanu, Sannicolau Mare, 887170",0753 563 972,1e:74:f4:7e:b5:c5,16.24.99.240,RO30QXTB9023266401392084,2024-08-31 14:08:59,31902,541,19,324937,aa277b94-c640-4c17-9888-3dc600cd6a34
Aristide Nistor,aristidenistor,aristidenistor@post.ro,7750606342927,2003-04-06,"Drumul Stan Nr. 716 Bl. 29  Sc. 28 Ap. 419, Curcani, 311370",0249 174 643,10:a7:bf:21:d2:9c,77.69.36.237,RO37MBOX4029717797860374,2024-05-30 12:38:30,7960,630,593,673562,33a809ce-6104-4da4-a376-accbd7d6b418
Daciana Tudor,dacianatudor,dacianatudor@email.ro,3210713043983,1928-04-17,"Intrarea Albu Nr. 66, Baia Sprie, 159210",0785 455 725,e4:a3:72:b3:83:dc,147.56.50.61,RO46UYEW0621810055756042,2024-07-05 19:01:20,12158,974,468,101160,5d773f1d-51d2-4a45-a8fe-969056cdf528
Martin Diaconescu,martindiaconescu,martindiaconescu@post.ro,6060402196503,1969-12-13,"Strada Arina Oprea Nr. 200, Floresti, 745276",0267 435 763,11:47:6e:7e:b9:ec,200.19.198.120,RO25UWIH5212842753248278,2024-06-08 19:13:40,20343,826,760,1580318,d622dbc7-9596-4ae8-8737-84b71830f334
Veniamin Ioniță,veniaminioniță,veniaminioniță@zzup.ro,5970927211937,1954-05-31,"Soseaua Ilona Florea Nr. 395 Bl. 59  Sc. 68 Ap. 308, Dabuleni, 795679",0762 900 761,04:df:13:64:c0:14,222.51.201.255,RO94OBOB7152202904749494,2024-11-30 02:18:29,23913,551,650,1781147,e71fdc82-3370-49e5-ae91-0a7f03e3b328
Arina Ardelean,arinaardelean,arinaardelean@acasa.ro,2500318426809,1947-02-22,"Soseaua Ene, Sfantu Gheorghe, 843885",0231 891 576,29:7a:c0:04:c4:d5,181.37.67.25,RO94SSBD3846391712329692,2024-06-04 10:17:10,17456,54,680,1297753,6b15f8a9-9238-471c-aa9b-50bfc0c1cc87
Simina Niță,siminaniță,siminaniță@post.ro,7051123286411,1928-04-14,"Soseaua Loredana Albu Nr. 219 Bl. 71  Sc. 33 Ap. 866, Intorsura Buzaului, 114118",0243 437 941,fb:2a:71:72:a8:ec,18.200.135.231,RO09WSEC7791017145774441,2024-09-24 17:50:04,9690,847,236,1159450,fbe3e519-3002-4ccc-9cd0-ddb08f9dcfdf
Emanoil Stan,emanoilstan,emanoilstan@141.ro,4600131223315,1976-06-08,"Soseaua Dinu, Afumati, 109304",0259 047 574,70:a8:38:6a:06:87,133.235.193.36,RO92ZDNA0730748237818963,2024-07-10 15:51:47,35507,566,759,127534,b11cb9a6-049b-45bf-bbb4-d1b07671e63f
Noemi Aanei,noemiaanei,noemiaanei@141.ro,1630501064525,1975-10-03,"Strada Manole Nr. 693, Constanta, 894966",0768 740 393,e0:d3:f4:87:80:d1,10.138.149.31,RO09TRZJ6702206123465399,2025-04-18 14:15:27,13624,426,517,649783,3b555643-b1f6-44ed-868f-8d533ff0e6ba
Camelia Albu,cameliaalbu,cameliaalbu@gmail.com,8211106118150,2020-03-29,"Drumul Ionescu, Giurgiu, 167957",0259 309 413,ad:a6:1b:1a:87:d5,14.127.123.232,RO52PQGJ9447010203600202,2024-10-18 13:19:13,26756,596,532,1133176,65d3a89d-4d60-49c0-8a76-d1d48ea37cdf
Roxana Ioniță,roxanaioniță,roxanaioniță@acasa.ro,8430201526142,1977-01-21,"Aleea Dafina Manole Nr. 39, Darabani, 693441",0268 588 025,46:13:2d:62:c2:eb,188.166.190.230,RO28AHLD5281915493518899,2024-11-18 11:49:47,2046,579,552,925665,a6e8a57e-cb5e-4f61-9322-53cd42e93d48
Valentina Preda,valentinapreda,valentinapreda@post.ro,7330825400535,1925-01-05,"Aleea Toma Nr. 23, Ruscova, 739412",0237 790 210,7b:ae:2d:ca:57:39,83.238.7.125,RO05NTLW6261679652877707,2024-10-22 10:52:18,27982,412,378,1494339,08bf323d-3010-409a-bdc2-da9b60ea55b1
Cecilia Oprea,ceciliaoprea,ceciliaoprea@email.ro,7491211310886,1964-12-24,"Intrarea Fiodor Pop Nr. 420 Bl. 93  Sc. 76 Ap. 688, Lipova, 883909",0250 913 560,7d:be:d0:12:72:5c,105.82.145.249,RO80IZHZ9493717446029117,2024-06-06 19:44:47,7806,58,79,1304105,9da85fff-d706-49b5-9bb7-f337958c4270
Nicoară Cristea,nicoarăcristea,nicoarăcristea@post.ro,4160417465812,1964-04-28,"Drumul Tabacu, Sibiu, 750356",0733 815 576,4c:78:1c:9c:76:fa,171.17.225.96,RO93YNEQ1963664440286913,2024-05-14 20:06:41,34609,6,387,979290,fc4325d8-e902-423f-8823-bbd284cf3509
Adriana Stancu,adrianastancu,adrianastancu@141.ro,2050930161573,1922-06-06,"Intrarea Bogdana Stoica Nr. 778, Rodna, 451421",0757 055 497,9f:3a:f8:a0:b8:43,119.22.134.119,RO55LFZM3161974431277507,2025-02-02 09:45:38,35653,383,0,1834000,4cae9547-5871-43ff-a3c8-f5ddeff11a8d
Barbu Ionescu,barbuionescu,barbuionescu@acasa.ro,7220820332554,1925-11-02,"Drumul Pop Nr. 68, Dej, 841309",0725 003 946,c3:79:7d:f4:bb:ac,47.232.71.161,RO17GZMA2004543277399457,2025-03-26 07:39:13,11611,102,704,175758,d1896cce-6e2a-4ff8-a1ea-ca137661cb6f
Codin Diaconu,codindiaconu,codindiaconu@kappa.ro,1530605207831,2021-07-29,"Strada Tomescu Nr. 793 Bl. 84  Sc. 48 Ap. 593, Marginea, 159353",0753 878 982,8c:97:cd:de:5a:6d,87.4.199.163,RO21IVMX0366159084696248,2024-07-17 19:18:10,28518,817,162,1894013,02bf7883-f689-4fb3-9db5-de6e3e5f9134
Viviana Ioniță,vivianaioniță,vivianaioniță@email.ro,5420921161040,1962-03-07,"Drumul Axenia Ardelean Nr. 26, Dabuleni, 798606",0771 051 844,40:d5:0d:7a:9a:23,123.167.124.147,RO11CWFK1095610658623668,2025-04-27 01:49:11,20866,407,75,698130,cb0cfea3-11c9-4b59-889e-8b205968e2bf
Decebal Cristea,decebalcristea,decebalcristea@acasa.ro,7330207109581,1985-01-16,"Soseaua Dinu Nr. 451, Turda, 604952",0764 094 277,c8:9c:c0:56:56:a1,176.124.16.206,RO55DDYP5334430180690340,2025-03-01 10:48:46,14577,434,308,1956652,b8fbe341-2668-48b0-820d-2fad43c44661
Zamfir Tudor,zamfirtudor,zamfirtudor@141.ro,5801215066934,1978-01-17,"Bulevardul Ioniță Nr. 573 Bl. 34  Sc. 46 Ap. 792, Strehaia, 419099",0740 655 761,1f:36:6a:19:68:c5,138.158.47.63,RO08QYBX2546328444785782,2024-12-20 04:34:47,8851,129,645,316206,5e824f71-a391-45a0-8f0c-68e77d053302
Vicenția Tudor,vicențiatudor,vicențiatudor@141.ro,5950425435444,2013-12-19,"Soseaua Dumitrescu, Valea Caselor (Dragasani), 571332",0234 883 085,ed:24:eb:71:81:36,59.44.111.144,RO92UGCV8447237481534468,2024-07-22 09:32:49,14250,424,29,325405,ab04531f-0862-47fc-a9c6-33d4a535cf1d
Artemisa Diaconu,artemisadiaconu,artemisadiaconu@post.ro,8851108173792,1953-11-06,"Aleea Lia Dumitrescu Nr. 97, Berceni, 544966",0769 199 341,bd:4f:f9:8e:c9:0e,194.171.244.47,RO75LOQL7833585332969803,2024-10-07 10:06:25,8012,328,608,1821167,9d0a6732-6259-484c-8320-af0e91d6fbc2
Florentin Gheorghiu,florentingheorghiu,florentingheorghiu@acasa.ro,5701009262321,2002-08-16,"Soseaua Dumitrescu Nr. 859, Pogoanele, 879380",0758 709 333,15:e1:f5:93:64:b8,69.84.71.182,RO29QZIM3517003208678602,2024-06-25 19:06:14,28419,471,6,1422369,02161615-2361-4dc2-a78f-06031a72034a
Alexandra Dumitrescu,alexandradumitrescu,alexandradumitrescu@zzup.ro,1810118513120,2011-02-25,"Intrarea Iulia Popescu, Diosig, 777208",0753 130 823,3e:41:73:bf:7c:26,19.147.116.115,RO05JZVE8079705295573708,2025-01-26 00:24:13,3238,548,263,1136565,cd2ec35b-981e-47af-aab0-5b460097753f
Codruț Nemeș,codruțnemeș,codruțnemeș@acasa.ro,3260212148784,1922-05-11,"Bulevardul Albu Nr. 353 Bl. 72  Sc. 72 Ap. 309, Gaesti, 517300",0254 892 763,91:53:a3:8b:a3:f8,74.100.10.120,RO19NMCL9254825482484888,2024-12-03 05:26:09,12579,70,557,1127650,fe7f60c3-fa12-4f83-89d8-71851bcc98dc
Felicia Stănescu,feliciastănescu,feliciastănescu@gmail.com,2241203406873,1964-07-27,"Intrarea Tudor Nr. 587 Bl. 49  Sc. 34 Ap. 887, Vatra Dornei, 770430",0260 631 685,23:c4:00:9e:4d:e7,30.176.39.111,RO41DOWE0508945563053214,2024-11-18 20:40:12,2817,457,564,1280827,8616627e-8e52-4a4d-8949-f1dc647562ae
Viorica Albu,vioricaalbu,vioricaalbu@gmail.com,5940617186261,2009-02-18,"Drumul Sever Diaconescu, Calan, 193211",0766 690 978,09:d4:07:6b:93:fe,90.9.65.101,RO35IKXS7347566025002416,2025-04-09 23:05:57,32087,992,168,742132,9b216bac-fead-4b9a-a7df-ddcdf06d1faf
Sabrina Gheorghiu,sabrinagheorghiu,sabrinagheorghiu@zzup.ro,3981024295953,1939-09-12,"Strada Diaconu Nr. 24, Carei, 698940",0767 391 692,93:8f:87:57:ce:c7,110.62.98.231,RO73WUZM3206749318089197,2024-06-26 02:26:49,3605,378,569,1248338,ad4f5076-2410-4e6e-a212-affcc40eb5a3
Adelina Voinea,adelinavoinea,adelinavoinea@zzup.ro,8750301230873,1963-11-19,"Aleea Nistor Nr. 685, Beclean, 502324",0744 951 721,c6:7f:90:17:4b:e2,162.204.193.230,RO26XQUI9685602276170982,2024-07-10 08:27:37,6234,696,768,1629717,3e09bb23-1cbb-401b-bfda-cd8687bf10fc
Robertina Dinu,robertinadinu,robertinadinu@post.ro,6020510457447,1971-03-15,"Bulevardul Ion Suciu Nr. 590 Bl. 19  Sc. 81 Ap. 298, Rosiori de Vede, 884762",0264 733 129,52:5e:05:ba:4e:c1,132.85.93.60,RO23FEGB8397280674381234,2024-09-17 04:55:27,186,291,593,1829308,c94b1ec8-6954-4e10-811e-ce17394e05ba
Codruța Dima,codruțadima,codruțadima@email.ro,8570631458282,1951-07-28,"Intrarea Tomescu, Lunca Cetatuii, 664207",0763 054 012,fb:2c:7f:f1:e2:a9,56.159.238.143,RO98UYPE8129417656829774,2024-12-08 13:54:43,16736,963,725,54847,4cf85034-c81c-447a-b804-9a19f5f3131a
Dariana Popa,darianapopa,darianapopa@acasa.ro,1001130150733,2008-04-20,"Bulevardul Mugur Dobre Nr. 202 Bl. 69  Sc. 34 Ap. 511, Lugoj, 932398",0258 239 027,32:ef:e9:30:e5:86,12.164.109.64,RO83GAWQ6270913965251823,2024-06-11 22:36:38,8384,981,463,1935591,1608d854-d713-45a6-b722-bea797065696
Achim Toma,achimtoma,achimtoma@141.ro,5121119342345,2017-01-08,"Bulevardul Stănescu Nr. 636, Oituz, 126563",0741 469 574,d5:5a:88:df:4c:31,129.231.184.43,RO28NKDZ4743947376632810,2024-07-18 10:17:36,35229,230,340,763348,c14fcf7a-dad2-4e65-8e46-31604efcf031
Mihail Georgescu,mihailgeorgescu,mihailgeorgescu@kappa.ro,5961215188975,2021-11-14,"Intrarea Eftimie Nr. 22, Strehaia, 257072",0243 090 353,b8:c4:34:5f:c3:e1,77.12.32.184,RO05QNTQ8628058982896035,2025-04-08 16:34:42,28732,11,745,1493932,4d1f82b4-1c12-4a08-bb45-4070b681b274
Bartolomeu Niță,bartolomeuniță,bartolomeuniță@gmail.com,4740117329059,2013-02-18,"Drumul Emilian Diaconescu Nr. 923 Bl. 65  Sc. 62 Ap. 963, Sadova, 229550",0236 423 285,07:0a:ec:36:65:c9,4.217.63.51,RO20MKZO3631477978934282,2024-06-07 15:49:35,21889,351,548,1353508,829d83f6-4fa7-4c3b-bbab-055d8e29d56a
Amalia Ababei,amaliaababei,amaliaababei@post.ro,4740707145950,1952-09-02,"Drumul Nistor, Baia Mare, 336522",0765 627 302,97:5b:5e:70:f9:2f,97.192.250.89,RO59OHYH3662567832280309,2025-04-05 00:22:19,35043,128,490,1981091,a4bc21ab-80ea-4bda-8bb2-a821d85f9885
Octav Oprea,octavoprea,octavoprea@gmail.com,8120402269082,2010-11-29,"Intrarea Aanei Nr. 18 Bl. 30  Sc. 81 Ap. 878, Targu Jiu, 113669",0770 609 467,2a:db:51:7a:66:67,145.226.228.211,RO34VWOC3279379825205249,2024-09-10 21:39:45,30476,571,667,322010,c5cb88f3-b9c8-46a1-b2d7-83d2ade6dd3d
Aurica Diaconu,auricadiaconu,auricadiaconu@gmail.com,7880912413821,1975-11-01,"Aleea Georgescu Nr. 28 Bl. 44  Sc. 44 Ap. 825, Negresti-Oas, 926728",0254 709 092,8f:79:a7:31:f0:55,213.165.186.164,RO31RGRG8410943678817775,2025-01-09 13:35:38,15434,988,497,1611056,784367d1-2a39-46e7-b04f-dc74484c6f5c
Pompilia Ardelean,pompiliaardelean,pompiliaardelean@kappa.ro,5761026199323,1993-01-01,"Bulevardul Aurelia Ioniță Nr. 73 Bl. 65  Sc. 30 Ap. 694, Oltenita, 467740",0763 432 566,b6:80:dc:77:e4:74,134.56.48.145,RO31FBYT1103969719130539,2025-03-03 11:48:17,16239,928,618,1391217,0ea40231-5658-4d46-af13-a9722b5dded7
Fabian Popescu,fabianpopescu,fabianpopescu@email.ro,3520827068951,1980-07-10,"Bulevardul Florea Nr. 178, Copsa Mica, 626536",0263 792 650,9d:ca:42:22:e5:bd,100.45.227.170,RO92ZXCW3841079468422385,2024-09-12 16:11:27,22406,629,245,380366,7715c41f-ee5e-420c-a4d4-2d5ed6d40043
Rodica Dima,rodicadima,rodicadima@141.ro,1330414057786,1955-10-16,"Bulevardul Cipriana Diaconescu, Braila, 956447",0238 512 079,50:ed:2f:d2:52:d9,73.205.153.199,RO85ZERR9617318841135761,2024-06-20 13:07:53,13224,562,45,1791757,7af16bc0-8dd1-48e9-8260-9db6e4da370c
Rica Eftimie,ricaeftimie,ricaeftimie@141.ro,5161115520671,1931-12-31,"Aleea Ababei, Bistrita, 169272",0738 031 686,79:10:0a:c8:ee:d6,170.28.55.13,RO64THNK5891365791529716,2024-11-15 14:09:07,15631,21,719,647307,37e9b973-1dce-4624-9ece-c88dfe33d2c7
Achim Barbu,achimbarbu,achimbarbu@gmail.com,6190303130955,1990-05-01,"Soseaua Toma Nr. 786 Bl. 38  Sc. 85 Ap. 897, Cajvana, 244245",0729 871 174,4f:ce:43:72:5d:6d,13.157.33.8,RO11GACO4534388254730786,2024-07-28 10:53:49,6277,804,511,131616,f4c92687-2279-46b4-acde-c2cc1f0d255d
Jana Stănescu,janastănescu,janastănescu@kappa.ro,1000514226773,1919-03-02,"Intrarea Voinea, Drobeta-Turnu Severin, 670306",0244 579 880,6f:fd:ba:42:61:36,212.171.163.105,RO26PQXJ3995753344184931,2024-06-11 07:11:19,11786,453,705,499140,0608cc3c-9a09-47f9-b66f-891fafbe191a
Mitică Suciu,miticăsuciu,miticăsuciu@acasa.ro,2700915382188,1944-04-19,"Aleea Stoica Nr. 38 Bl. 92  Sc. 12 Ap. 160, Petrosani, 565476",0754 224 756,c0:cc:c3:62:1a:bf,173.205.49.86,RO97VZLR8402322936856563,2025-01-14 03:20:44,31604,130,64,1143332,bc18d340-7f3a-4a85-abe0-771dce489160
Sabin Marin,sabinmarin,sabinmarin@gmail.com,1031212216396,1999-12-22,"Bulevardul Aanei, Beius, 497207",0760 242 479,e2:20:67:95:e4:d3,193.20.116.145,RO82QZKM5059157789519113,2025-04-29 13:10:28,22385,680,695,1545352,eb2dca5f-7c22-475a-a1b8-9fac1ddeb3e4
Emanoil Florea,emanoilflorea,emanoilflorea@email.ro,8760628169964,1944-04-05,"Aleea Blanduzia Ionescu, Codlea, 669043",0760 953 981,ab:6a:09:f6:86:28,169.127.196.50,RO77SQFR0948929415269935,2025-02-10 17:04:55,5197,440,741,1227828,105d2212-e5fd-4eef-b88f-ee5f6a1715f5
Stan Stan,stanstan,stanstan@kappa.ro,1700908325260,1954-12-31,"Bulevardul Teea Mocanu, Schela Cladovei, 744193",0732 597 536,9a:e7:fa:c4:6f:df,2.146.157.46,RO64SLRF1592083221769622,2024-08-09 03:13:49,24202,167,791,100826,14e0b086-2ff4-4afd-b65b-74a6157e78ce
Zamfir Stan,zamfirstan,zamfirstan@zzup.ro,3111229066578,1997-12-10,"Drumul Ardelean Nr. 36 Bl. 51  Sc. 60 Ap. 618, Dragasani, 260449",0240 708 056,a4:07:5a:a3:f1:d0,106.27.127.233,RO27FNVR8047733208098269,2025-01-23 06:22:06,7577,267,581,18639,d63a37ec-e279-46bb-af15-15cfac2235c1
Leana Stoica,leanastoica,leanastoica@email.ro,4951013433057,2008-08-08,"Intrarea Suciu Nr. 147, Bacau, 335723",0237 508 368,d7:8a:8f:d1:6e:ff,198.173.218.94,RO41GSLG0252749542734400,2024-10-01 14:25:39,25677,206,635,689041,b076db30-fa1b-4ac3-af1e-2c2df32695cd
