person_name,user_name,email,personal_number,birth_date,address,phone_number,mac_address,ip_address,iban,accessed_at,session_duration,download_speed,upload_speed,consumed_traffic,unique_id
Svetlana Nistor,svetlananistor,svetlananistor@kappa.ro,1970206215006,2012-09-08,"Soseaua Manole Nr. 84 Bl. 98  Sc. 12 Ap. 820, Chitila, 592341",0237 441 551,98:2a:3a:5c:29:99,9.112.67.151,RO35TDKF1935724686023755,2025-04-04 17:16:32,15858,193,37,1611573,acb3d216-0e6b-4178-b0c7-ef5165425fa8
Cristobal Ioniță,cristobalioniță,cristobalioniță@kappa.ro,5630924349970,1940-03-07,"Soseaua Aanei Nr. 62, Falticeni, 306062",0253 990 077,e4:a0:db:8c:11:a4,74.221.13.39,RO40TAQV2249363249387012,2025-04-04 17:16:32,1453,176,266,1761668,1d896387-7b0a-4332-828c-c00d8e013b10
Consuela Ardelean,consuelaardelean,consuelaardelean@acasa.ro,1670921116787,1957-07-21,"Drumul Stoica, Cristuru Secuiesc, 101981",0726 208 793,60:be:ff:0e:b8:55,185.14.108.162,RO48KMKD3058754430056472,2025-04-04 17:16:32,2926,690,296,1650147,e61965b4-e28c-4bea-bfb6-066c0c0e50e7
Marcel Nemeș,marcelnemeș,marcelnemeș@gmail.com,5150222150773,1985-09-01,"Bulevardul Dumitra Dobre Nr. 10 Bl. 40  Sc. 22 Ap. 962, Schela Cladovei, 616151",0266 852 124,ba:a5:2c:05:b9:73,76.83.232.179,RO75KBOK4181571039780018,2025-04-04 17:16:32,18706,499,435,360687,b3f7662c-8db7-4350-b980-3d631a811d69
Bartolomeu Oprea,bartolomeuoprea,bartolomeuoprea@gmail.com,7300409254311,1959-09-22,"Soseaua Cristea Nr. 871, Deta, 204600",0740 451 772,04:f6:36:e8:fb:3f,96.26.180.115,RO22IBXI7967521400823267,2025-04-04 17:16:32,12328,946,174,732095,d5d128c7-4c9b-4e63-81da-fac6f9e28ff8
Codrin Albu,codrinalbu,codrinalbu@post.ro,2010926371017,1994-07-24,"Strada Eftimie, Buftea, 400421",0264 351 489,04:11:ea:9e:46:ce,165.203.231.67,RO27XTQS6519735927003363,2025-04-04 17:16:32,26619,362,64,260495,1e6fa340-3e3a-474c-a6ae-6c2ee32f3c74
Crenguța Diaconescu,crenguțadiaconescu,crenguțadiaconescu@email.ro,4240513249894,1910-11-23,"Intrarea Agripina Marin Nr. 292 Bl. 63  Sc. 53 Ap. 296, Targu Ocna, 249075",0742 732 730,a2:14:4c:cf:bf:9d,158.17.46.157,RO74UCOK5120330920330043,2025-04-04 17:16:32,1702,466,551,242092,243b02b7-a7d9-458a-9f57-272ce6127301
Estera Stoica,esterastoica,esterastoica@gmail.com,8801115177358,1969-03-21,"Aleea Aristide Dima, Pogoanele, 531872",0726 631 975,50:7e:f4:f3:db:d9,218.128.40.227,RO67ZLQZ4175971191994412,2025-04-04 17:16:32,4211,990,799,160541,5af4b2a4-5d20-4e3b-872d-7069b447026a
Ianis Georgescu,ianisgeorgescu,ianisgeorgescu@email.ro,6590231269360,2015-11-13,"Drumul Corina Dima Nr. 257, Rosu, 462166",0786 089 490,e0:2a:65:cf:c7:ed,165.155.177.172,RO26GPMS0612563372083084,2025-04-04 17:16:32,667,443,327,666713,2c995618-f9f3-44b9-94c9-cafc91b59460
Amanda Marin,amandamarin,amandamarin@zzup.ro,1891015346158,2008-02-13,"Soseaua Tabacu, Teius, 625713",0722 678 378,60:09:ad:d0:57:a6,19.97.134.212,RO97FMUV9150048684920167,2025-04-04 17:16:32,13910,202,549,821396,c32e70c9-7701-4b68-9afe-3bc013468751
Gheorghe Ababei,gheorgheababei,gheorgheababei@email.ro,6990923085415,1947-09-29,"Drumul Dobre, Targu Ocna, 363583",0767 672 981,5c:50:82:98:f5:a8,13.32.211.190,RO56PQRU2384719006430857,2025-04-04 17:16:32,27051,960,757,1519541,0f99dd6b-b691-4a40-b167-5281570aa23b
Petrișor Mocanu,petrișormocanu,petrișormocanu@gmail.com,1870222423395,1918-02-19,"Strada Popa Nr. 833 Bl. 20  Sc. 86 Ap. 267, Rasnov Romacril, 907602",0745 663 013,30:dc:bf:21:a4:46,10.88.208.213,RO97TVNT5356626638449251,2025-04-04 17:16:32,30255,271,335,1066204,9cc90003-05b5-4253-a142-b4438bfed6f8
Eliana Stoica,elianastoica,elianastoica@zzup.ro,2310414366061,1987-08-18,"Strada Viorela Oprea Nr. 286 Bl. 83  Sc. 35 Ap. 822, Cumpana, 805056",0764 059 727,94:bc:c0:65:ae:f8,59.103.244.244,RO39BXGI6733342472776074,2025-04-04 17:16:32,31857,262,748,1884627,082c7c4c-5ea1-4a1c-bd80-76820d851bf3
Gianina Pop,gianinapop,gianinapop@kappa.ro,5920908424286,2009-12-15,"Aleea Alexe Cristea Nr. 92, Mizil, 601665",0738 354 276,5a:0c:e1:4c:e5:a6,11.31.116.149,RO29LOIP5046856742191262,2025-04-04 17:16:32,10714,305,535,843440,e49dd6f9-129b-4a97-aa6c-8ce92dd161e0
Veniamin Eftimie,veniamineftimie,veniamineftimie@kappa.ro,1701113164491,1991-02-04,"Bulevardul Nistor Nr. 122 Bl. 87  Sc. 69 Ap. 434, Bumbesti-Jiu, 181859",0734 485 307,64:91:c4:3c:8f:52,48.27.226.224,RO49VYHT3006935567932644,2025-04-04 17:16:32,1828,33,584,1995005,a6c52233-6f87-40ea-bfca-9dbfb9fb323d
Valeria Nistor,valerianistor,valerianistor@email.ro,6870101156341,1953-08-07,"Intrarea Celia Mocanu Nr. 130 Bl. 94  Sc. 88 Ap. 277, Targu Neamt, 122995",0729 301 652,82:60:84:39:b7:1b,61.166.207.67,RO88EFOP5277140546115270,2025-04-04 17:16:32,1197,417,770,242670,5aa25b6c-0ec6-4bbb-91e2-1d2e35ddd8f8
Olimpian Ioniță,olimpianioniță,olimpianioniță@gmail.com,5800427356954,1985-04-29,"Intrarea Vlaicu Tudor Nr. 573, Copsa Mica, 213731",0724 729 315,36:af:04:1a:9f:09,90.198.215.55,RO66WQOV9092513664551697,2025-04-04 17:16:32,20391,486,798,899775,179989c6-f712-4acb-ba14-99900f1aa703
Paula Gheorghiu,paulagheorghiu,paulagheorghiu@gmail.com,8740703388053,1974-01-31,"Intrarea Teodosia Dima, Fundulea, 104245",0726 483 205,f4:76:08:10:75:6c,46.9.65.49,RO72BBZD4267730621717375,2025-04-04 17:16:32,29274,300,514,265566,d9f22310-26dc-4852-a200-f944512155f8
Albertina Ababei,albertinaababei,albertinaababei@zzup.ro,7920228524984,1994-03-01,"Aleea Voinea, Giroc, 762891",0236 532 393,8c:bc:cc:27:7a:85,183.152.155.178,RO17BDNK5736717100629939,2025-04-04 17:16:32,34131,620,750,1489496,b5981e3d-8c93-48e9-88a0-40c036f057d2
Ilona Gheorghiu,ilonagheorghiu,ilonagheorghiu@email.ro,4280406197587,2019-01-13,"Drumul Stănescu Nr. 447, Tuzla, 347208",0728 527 519,5c:8e:96:6b:d4:3d,11.59.31.104,RO52XPFZ4234658265901785,2025-04-04 17:16:32,28641,812,782,936602,5bb6804f-d15f-4475-8e67-08d5f0f132c3
Marioara Voinea,marioaravoinea,marioaravoinea@acasa.ro,6880525347065,1915-09-20,"Soseaua Elena Mocanu Nr. 39, Targu Jiu, 531492",0260 978 359,22:64:49:5f:1d:66,95.171.89.196,RO91SGRQ1483232755186462,2025-04-04 17:16:32,18708,904,196,1222348,16116437-1d15-4a6f-9456-197cfccc00b1
Larisa Georgescu,larisageorgescu,larisageorgescu@acasa.ro,3740913104861,1909-04-15,"Bulevardul Marin Nr. 136 Bl. 92  Sc. 79 Ap. 497, Otelu Rosu, 765248",0255 219 026,56:7a:77:df:2d:a8,142.103.226.106,RO39YDUB2227769323157140,2025-04-04 17:16:32,16834,806,335,1730455,31991c1f-99f6-4fea-ab01-4d1faa382e49
Crina Stan,crinastan,crinastan@141.ro,4850615063181,1975-01-22,"Bulevardul Ica Tabacu Nr. 927, Hateg, 626328",0726 609 868,f0:34:5d:3f:ab:85,43.135.138.224,RO39INHW5175334729072554,2025-04-04 17:16:32,20931,857,590,229568,283436fc-a792-41e9-bd89-f4946aa95891
Doriana Ionescu,dorianaionescu,dorianaionescu@gmail.com,6221021288330,1953-05-10,"Bulevardul Oliviu Tabacu Nr. 99 Bl. 28  Sc. 86 Ap. 310, Popesti-Leordeni, 848417",0742 528 529,76:cc:86:93:a3:62,141.252.204.147,RO43ZYDS4089250194124738,2025-04-04 17:16:32,26906,132,259,1127771,551718d1-8d43-49e1-8097-e69f60b15937
Patricia Diaconescu,patriciadiaconescu,patriciadiaconescu@email.ro,2640204406741,1996-01-21,"Strada Georgescu Nr. 67 Bl. 34  Sc. 42 Ap. 376, Simeria, 630885",0254 621 088,8a:57:e6:cf:97:8d,156.16.234.81,RO85IKLJ6118276758188424,2025-04-04 17:16:32,7365,695,706,857282,81ecfa0b-3e8e-4c14-84ac-35e6c3eca80b
Bucur Dima,bucurdima,bucurdima@acasa.ro,3090111359219,1965-03-24,"Soseaua Coralia Nistor Nr. 953 Bl. 44  Sc. 72 Ap. 376, Buhusi, 485221",0240 854 481,e2:62:fb:e6:6d:b6,67.173.113.27,RO71AQQO4486226410891091,2025-04-04 17:16:32,5763,781,414,164614,423aae23-4986-4cae-acdb-7d33fe1e9926
Leontin Dima,leontindima,leontindima@acasa.ro,4890910215057,1980-09-26,"Intrarea Ruxandra Pușcașu, Chitila, 904851",0768 874 352,7a:ad:d3:6f:27:ec,86.136.210.112,RO91YRKI2560562448089689,2025-04-04 17:16:32,29817,680,586,1134949,bde459ea-b09e-4f23-b6ac-dd04f9328692
Svetlana Albu,svetlanaalbu,svetlanaalbu@acasa.ro,4681015030943,1962-10-23,"Strada Dochioiu Nr. 33, Breaza de Sus, 659037",0243 917 786,ce:9e:29:9f:4d:d1,7.12.27.125,RO23EZDB0964304124630847,2025-04-04 17:16:32,22044,715,733,244492,886b4e7d-7e0c-428a-8dd3-459c41319960
Dorinel Nistor,dorinelnistor,dorinelnistor@email.ro,4590612312705,1973-04-22,"Aleea Toma Nr. 859, Popesti-Leordeni, 332467",0771 278 391,e2:83:9b:d0:3f:cd,66.3.235.32,RO55AGEE3198849198311075,2025-04-04 17:16:32,5515,580,221,606062,6154ad68-d6a6-4043-a528-72d472f7e6ac
Iurie Popescu,iuriepopescu,iuriepopescu@email.ro,4590211360102,1970-04-02,"Aleea Diaconescu Nr. 90 Bl. 50  Sc. 57 Ap. 991, Otelu Rosu, 745008",0743 452 929,22:59:82:b3:85:03,42.210.141.69,RO40NSQM3184916172297907,2025-04-04 17:16:32,13593,304,660,1605137,6631398e-1589-40e2-9aac-82b6b98f9902
Gențiana Oprea,gențianaoprea,gențianaoprea@post.ro,6710320401700,1990-08-10,"Soseaua Nae Diaconu Nr. 17 Bl. 51  Sc. 41 Ap. 523, Giurgiu, 783538",0766 196 013,78:9d:72:52:c7:e2,54.163.238.57,RO51PQXY6607139597524739,2025-04-04 17:16:32,7956,67,333,262925,1587f8f5-d989-4f21-95a6-e9f25273fd48
Stelian Nistor,steliannistor,steliannistor@gmail.com,4921213280609,2007-10-17,"Intrarea Suciu Nr. 73, Baia Mare, 290520",0731 911 740,30:8c:71:88:43:d1,168.184.193.0,RO06KNAN1425159983910771,2025-04-04 17:16:32,10440,345,133,1989096,f72d5282-8b80-4191-89e8-e3bf2cbc43a7
Sofia Nistor,sofianistor,sofianistor@141.ro,5021020275023,1958-02-03,"Intrarea Maia Voinea Nr. 10, Uricani, 543356",0732 771 335,56:4d:8e:49:69:7f,72.168.59.154,RO84HGCC3069863470811673,2025-04-04 17:16:32,25500,665,38,580243,89924731-84a3-40f5-b9ec-0cb306d1af53
Carla Voinea,carlavoinea,carlavoinea@acasa.ro,3020324139534,1986-08-29,"Strada Eremia Florea, Avrig, 520387",0234 723 811,70:4b:41:36:e5:95,72.104.197.98,RO54TUCI6067953460689548,2025-04-04 17:16:32,9187,612,492,1851492,bbf9d3c2-9d0b-4d49-8113-66a04e289b50
Silvia Tomescu,silviatomescu,silviatomescu@141.ro,4640228178834,1936-10-25,"Aleea Dobre Nr. 917 Bl. 83  Sc. 46 Ap. 135, Techirghiol, 461609",0236 199 937,0a:6d:b2:0e:05:ee,192.137.147.37,RO87YOFK8545980882452463,2025-04-04 17:16:32,25583,856,355,1624226,577e277d-146e-4c5f-a3cc-032f6d06d576
Viorica Ardelean,vioricaardelean,vioricaardelean@post.ro,5950916447715,1967-03-10,"Intrarea Dochioiu Nr. 44 Bl. 75  Sc. 61 Ap. 487, Raducaneni, 529194",0265 913 571,92:cc:d0:12:61:51,163.74.141.93,RO32SRPT6977317265903896,2025-04-04 17:16:32,31202,643,1,927669,835ad361-2739-4f21-ab44-a19d88e4a142
Flora Popescu,florapopescu,florapopescu@zzup.ro,2221011101340,1985-07-10,"Aleea Marin Nr. 579, Baicoi, 303400",0246 289 778,38:96:44:93:41:6e,108.1.153.178,RO20TMRI3934207671967337,2025-04-04 17:16:32,12821,378,585,152361,eac8dec0-dd7d-4770-801e-b70c060303a8
Pamela Preda,pamelapreda,pamelapreda@141.ro,8080625467546,1932-12-06,"Intrarea Ababei Nr. 44 Bl. 67  Sc. 30 Ap. 353, Sighetu Marmatiei, 932198",0734 250 145,fa:b6:7c:fa:5f:2c,2.232.95.89,RO15RTIG7771512866655937,2025-04-04 17:16:32,21208,30,330,860964,d203b6e8-2a8a-4796-835a-6900dad24cd9
Alistar Toma,alistartoma,alistartoma@zzup.ro,6100229525752,1921-04-04,"Drumul Ardelean, Pancota, 146208",0772 794 555,50:9d:51:af:ba:58,202.189.231.16,RO35TCPD3130717193154137,2025-04-04 17:16:32,14002,645,212,1273422,225c6c45-4f5f-4cfe-8f2d-4a33c1247246
Emanuil Marin,emanuilmarin,emanuilmarin@141.ro,1840911126391,1939-07-20,"Bulevardul Ababei, Poienile de sub Munte, 514761",0260 422 079,aa:c8:7e:c4:68:38,140.91.80.89,RO53QSGT7339561616404375,2025-04-04 17:16:32,14245,685,182,588576,dbf97d5d-e0af-4e54-a845-6e76d4bb73e0
Andrada Ardelean,andradaardelean,andradaardelean@141.ro,7470828180983,1970-05-27,"Intrarea Tabacu, Sandominic, 111547",0268 260 687,02:4d:45:cd:56:38,1.100.131.161,RO03FUCP5429304394059273,2025-04-04 17:16:32,34013,692,170,1233164,47c7e41b-3fd3-4ac6-b5e9-b3a6897b380b
Sorina Albu,sorinaalbu,sorinaalbu@post.ro,4550910517757,2005-12-30,"Strada Tomescu, Prejmer, 158127",0725 681 792,52:21:bc:01:92:52,142.53.233.101,RO69FDRY3165592619786430,2025-04-04 17:16:32,10618,73,302,1149745,e68b20e3-9c9c-4f00-b12d-c502ab5fce37
Draga Suciu,dragasuciu,dragasuciu@acasa.ro,1920726129397,1970-01-29,"Strada Popa Nr. 71 Bl. 98  Sc. 70 Ap. 771, Mihail Kogalniceanu, 806505",0780 646 817,dc:d8:ac:c2:0f:22,12.12.166.213,RO51RIMF9470929964008205,2025-04-04 17:16:32,24873,424,47,168997,acabf3a0-6d46-49f4-8678-04f89fcaff1e
Crina Dochioiu,crinadochioiu,crinadochioiu@141.ro,4761028248948,1942-04-25,"Strada Eftimie, Magurele, 146420",0743 637 420,16:4d:06:cb:d9:48,220.250.32.212,RO40RDXQ8471337873944203,2025-04-04 17:16:32,8432,765,78,1012101,2e2dc194-68d8-4b7a-a14b-da321140dafc
Larisa Niță,larisaniță,larisaniță@zzup.ro,3271114064251,1912-05-16,"Strada Florea Nr. 15, Fetesti-Gara, 199826",0235 570 010,ca:fe:4c:67:8d:1a,165.161.228.93,RO83FHYW7493327877985512,2025-04-04 17:16:32,33194,914,602,1276243,fa60a47a-34fb-4e36-b1fb-799896962efc
Simi Aanei,simiaanei,simiaanei@kappa.ro,3360930237891,2009-05-31,"Drumul Nistor Nr. 77, Busteni, 160096",0788 549 973,14:d4:57:f1:30:fa,196.119.70.130,RO91WSXD5327254980801438,2025-04-04 17:16:32,14446,604,113,254902,a6fc1b1f-5e61-48c1-8947-cca6dfbf8ec6
Constantin Stoica,constantinstoica,constantinstoica@acasa.ro,2760707409779,1964-09-11,"Intrarea Profira Nemeș Nr. 907 Bl. 42  Sc. 17 Ap. 685, Cugir, 479473",0724 212 936,d6:f9:fb:bf:46:1e,154.186.44.183,RO50MHVF4653356512261823,2025-04-04 17:16:32,579,865,204,182660,69bb2c72-32f9-43e4-8c6c-0bbb1c19d2f9
Aureliana Tudor,aurelianatudor,aurelianatudor@post.ro,1981212149792,2014-02-24,"Bulevardul Rica Nistor Nr. 339 Bl. 13  Sc. 79 Ap. 974, Calafat, 670103",0249 249 429,c8:0f:af:a1:91:b5,148.142.227.142,RO18IHLC0012265068520310,2025-04-04 17:16:32,2559,2,14,382819,00ef38a9-95a4-4696-8dfb-97d71e7ea6ef
Aureliana Manole,aurelianamanole,aurelianamanole@post.ro,7261122292741,1991-08-03,"Strada Natașa Ionescu Nr. 413 Bl. 38  Sc. 17 Ap. 805, Craiova, 319361",0739 297 226,56:a3:20:98:5d:02,199.86.130.207,RO22JIPL5658717504139170,2025-04-04 17:16:32,13047,590,487,1109476,29412207-8b67-46bb-bfe4-c5e1cb870ee4
